"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1973971433358311593","Fri Oct 03 04:40:38 +0000 2025","0","Soal Kandungan Etanol di BBM Apakah Aman atau Tidak untuk Mesin? Ini Kata Pakar https://t.co/VF0vtjqAL9","1973971433358311593","","","in","","0","0","0","https://x.com/undefined/status/1973971433358311593","1578222594",
"1973969609125736616","Fri Oct 03 04:33:24 +0000 2025","0","Pertamina ungkap alasan penggunaan etanol dalam BBM usai Vivo batal beli base fuel karena kandungan etanol 3 5 persen. https://t.co/y9yS5uIhaU","1973969609125736616","","","in","","0","0","5","https://x.com/undefined/status/1973969609125736616","1545636853214507008",
"1973566929580569018","Fri Oct 03 04:27:20 +0000 2025","0","@HangJelabat @dedenij91 @perupadata Berdasarkan data dari Shell Indonesia dan sumber terkini kandungan etanol di V-Power adalah 0%. Produk ini tidak mengandung etanol di pasar Indonesia berbeda dengan varian di negara lain yang mungkin mencapai 5-10%.","1973968083925807337","","HangJelabat","in","","0","1","0","https://x.com/undefined/status/1973968083925807337","1720665183188922368",
"1973925566593257906","Fri Oct 03 04:23:19 +0000 2025","0","@bubynul blom vivo batal beli juga soalnya ada kandungan 3% etanol","1973967075485130863","","bubynul","in","","0","0","0","https://x.com/undefined/status/1973967075485130863","1781468420720279552",
"1973963295502795114","Fri Oct 03 04:08:18 +0000 2025","0","Kandungan Etanol di BBM Pertamina: Praktik Internasional Energi Rendah Emisi https://t.co/WBzBCT7eJk","1973963295502795114","","","in","","0","0","0","https://x.com/undefined/status/1973963295502795114","47274731",
"1973956569328164959","Fri Oct 03 03:41:35 +0000 2025","17","Kalau pemerintah bikin regulasi kandungan etanol 20%. Artinya selama ini pemerintah ngrusak kendaraan... Hanya ada 1 kata. #bangsat Dampak Etanol di BBM pada Mesin Kendaraan https://t.co/xeSyFVoAh8","1973956569328164959","","","in","","1","0","4","https://x.com/undefined/status/1973956569328164959","1296100285375340544",
"1973947364101718048","Fri Oct 03 03:05:00 +0000 2025","91","Secara fisika dan kimia pembakaran etanol memang punya keunggulan: Kandungan oksigen lebih tinggi → bikin pembakaran lebih sempurna → emisi CO dan HC turun. Angka oktan lebih tinggi → bikin mesin lebih tahan knocking. Tapi masalahnya mobil-mobil di pasaran Indonesia https://t.co/0GjS4KSCXU","1973947364101718048","https://pbs.twimg.com/media/G2TeqP-aIAATG0O.jpg","","in","","2","17","47","https://x.com/undefined/status/1973947364101718048","1267940786991099905",
"1973944468052296085","Fri Oct 03 02:53:29 +0000 2025","0","Ramai Ditolak SPBU Swasta Apa Dampak Kandungan Etanol pada BBM untuk Mobil-Motor? https://t.co/rDzdRMla1I","1973944468052296085","","","in","","0","0","0","https://x.com/undefined/status/1973944468052296085","80543284",
"1973938729766301917","Fri Oct 03 02:30:41 +0000 2025","1"," Vivo batal beli BBM impor dari Pertamina karena kandungan etanol 3 5%. Pertamina bilang akan serap sendiri . Tapi publik tanya: siapa yang dirugikan beneran? #BBM #Etanol #Pertamina #Vivo https://t.co/Vmkpga2Hwh","1973938729766301917","","","in","","0","0","0","https://x.com/undefined/status/1973938729766301917","1865197367068364803",
"1973932075771474038","Fri Oct 03 02:04:15 +0000 2025","0","Setelah sempat sepakat SPBU swasta Vivo dan BP AKR akhirnya batal membeli base fuel (bahan bakar murni tanpa campuran aditif) dari Pertamina pasalnya kandungan etanol dalam base fuel Pertamina terlampau tinggi. https://t.co/0039mQsWZd","1973932075771474038","https://pbs.twimg.com/media/G2TQww6bQAAX0lR.jpg","","in","","0","0","0","https://x.com/undefined/status/1973932075771474038","3043246526",
